sample_index,clean_index,trajectory_seed,replicate_id,noise_seed,alpha,method,setting_id,window_length,polyorder,n_anchors,bandwidth_multiplier,bandwidth,kernel_type,kernel_degree,rmse,relative_rmse,denoising_gain,rmse_x,rmse_y,rmse_z
24,3,3,0,1006,0.02,kernel_smoothing,kernel|type=gaussian|M=64|ch=2,,,64,2.0,64.98412698412699,gaussian,,3.318541473637691,0.20714206488258508,-10.469973762326255,2.216596731967646,3.762379188240619,3.737559940453728
25,3,3,0,1006,0.05,kernel_smoothing,kernel|type=gaussian|M=64|ch=2,,,64,2.0,64.98412698412699,gaussian,,3.320291016954761,0.20725127069428828,-3.5904083044063864,2.217327449263981,3.762686129032549,3.741476899425944
26,3,3,0,1006,0.1,kernel_smoothing,kernel|type=gaussian|M=64|ch=2,,,64,2.0,64.98412698412699,gaussian,,3.3265318749637323,0.20764082261789293,-1.299518244896381,2.219935190516128,3.7637821415480426,3.7554326896272947
27,3,3,0,1006,0.2,kernel_smoothing,kernel|type=gaussian|M=64|ch=2,,,64,2.0,64.98412698412699,gaussian,,3.3513790920927202,0.20919177622313526,-0.15834714013006446,2.2303356668455425,3.7681630034357676,3.8107447893401747
28,3,3,1,1007,0.02,kernel_smoothing,kernel|type=gaussian|M=64|ch=2,,,64,2.0,64.98412698412699,gaussian,,3.318525976048224,0.20714109752909307,-10.399871757180605,2.216579549098126,3.762397022409486,3.7375108975633253
29,3,3,1,1007,0.05,kernel_smoothing,kernel|type=gaussian|M=64|ch=2,,,64,2.0,64.98412698412699,gaussian,,3.3201942063567493,0.20724522781450694,-3.562240999116524,2.2172200895054943,3.762797581740473,3.741170690748562
30,3,3,1,1007,0.1,kernel_smoothing,kernel|type=gaussian|M=64|ch=2,,,64,2.0,64.98412698412699,gaussian,,3.3261453424641405,0.20761669540997774,-1.285209193690744,2.2195062249095283,3.764227803148566,3.754212258407727
31,3,3,1,1007,0.2,kernel_smoothing,kernel|type=gaussian|M=64|ch=2,,,64,2.0,64.98412698412699,gaussian,,3.3498441604087104,0.2090959663858904,-0.15074566572097514,2.2286273148610407,3.769943261643703,3.8059316589391767
32,4,4,0,1008,0.02,kernel_smoothing,kernel|type=gaussian|M=64|ch=2,,,64,2.0,64.98412698412699,gaussian,,3.2993352282227337,0.20353315723575607,-10.093226295461964,2.3469910835302445,3.8506109560512516,3.5101662301865835
33,4,4,0,1008,0.05,kernel_smoothing,kernel|type=gaussian|M=64|ch=2,,,64,2.0,64.98412698412699,gaussian,,3.301682920154365,0.20367798433515913,-3.4404479394309613,2.3474704034148015,3.8511362074280258,3.5158872184194943
34,4,4,0,1008,0.1,kernel_smoothing,kernel|type=gaussian|M=64|ch=2,,,64,2.0,64.98412698412699,gaussian,,3.31005394117348,0.20419438543400265,-1.225853081282851,2.3491814616514213,3.85301152016651,3.5362437650891194
35,4,4,0,1008,0.2,kernel_smoothing,kernel|type=gaussian|M=64|ch=2,,,64,2.0,64.98412698412699,gaussian,,3.34332844089533,0.20624706075050164,-0.12411429604515889,2.356013268271236,3.860503661978346,3.6165243185523415
36,4,4,1,1009,0.02,kernel_smoothing,kernel|type=gaussian|M=64|ch=2,,,64,2.0,64.98412698412699,gaussian,,3.299186151736761,0.2035239608353418,-10.24322439213328,2.3470734449982937,3.8505912097847665,3.5097124341385864
37,4,4,1,1009,0.05,kernel_smoothing,kernel|type=gaussian|M=64|ch=2,,,64,2.0,64.98412698412699,gaussian,,3.3007517443342445,0.2036205408983754,-3.4994238963738598,2.3479850101526556,3.8510128084807813,3.5130546500434816
38,4,4,1,1009,0.1,kernel_smoothing,kernel|type=gaussian|M=64|ch=2,,,64,2.0,64.98412698412699,gaussian,,3.306337095129846,0.20396509639306223,-1.253518787171791,2.351237714801569,3.852518141264304,3.524965267859974
39,4,4,1,1009,0.2,kernel_smoothing,kernel|type=gaussian|M=64|ch=2,,,64,2.0,64.98412698412699,gaussian,,3.3285847757832934,0.20533753670947355,-0.13434113205977805,2.3642037826413196,3.8585335993093817,3.572210627311053
0,0,0,0,1000,0.02,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=2|degree=2,,,64,2.0,64.98412698412699,compact_polynomial,2,4.087962604233509,0.25239036891184624,-12.695321298069208,2.993429495732846,4.169154380648486,4.877688629384918
1,0,0,0,1000,0.05,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=2|degree=2,,,64,2.0,64.98412698412699,compact_polynomial,2,4.089033816366452,0.25245650543304055,-4.479564011257269,2.9939840100423227,4.169468425056369,4.879773094543842
2,0,0,0,1000,0.1,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=2|degree=2,,,64,2.0,64.98412698412699,compact_polynomial,2,4.092857285287877,0.2526925659905912,-1.7423438507540205,2.995963580466374,4.170589819186834,4.887210355388482
3,0,0,0,1000,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=2|degree=2,,,64,2.0,64.98412698412699,compact_polynomial,2,4.108115575676601,0.2536346111884083,-0.37628369399046124,3.003868816684231,4.175072383726535,4.916846903468329
4,0,0,1,1001,0.02,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=2|degree=2,,,64,2.0,64.98412698412699,compact_polynomial,2,4.087969740550562,0.25239080950728904,-12.571131828843088,2.993388030843643,4.16917966773292,4.8777104048862485
5,0,0,1,1001,0.05,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=2|degree=2,,,64,2.0,64.98412698412699,compact_polynomial,2,4.089078406459371,0.25245925842055317,-4.429924939225401,2.9937248930646807,4.1696264549146,4.8799091316988745
