alpha,method,setting_id,window_length,polyorder,n_anchors,bandwidth_multiplier,bandwidth,kernel_type,kernel_degree,mean_rmse,variance_cluster_rmse,mean_relative_rmse,variance_cluster_relative_rmse,mean_denoising_gain,variance_cluster_denoising_gain,mean_rmse_x,variance_cluster_rmse_x,mean_rmse_y,variance_cluster_rmse_y,mean_rmse_z,variance_cluster_rmse_z,n_realizations,n_clusters,eligible_for_ranking
0.02,kernel_smoothing,kernel|type=gaussian|M=32|ch=4,,,32,4.0,264.1290322580645,gaussian,,6.6465709329039955,0.1940598241028047,0.4140948087931635,0.0009209840408410133,-21.72825708426019,3.469651067336245,5.007170049466639,0.22741547823355565,6.463904322303955,0.25406310180683994,8.101245175599548,0.1591044774082943,10,5,True
0.02,kernel_smoothing,kernel|type=gaussian|M=64|ch=1,,,64,1.0,32.492063492063494,gaussian,,3.258127981694629,0.018350757378220835,0.2029280914265502,8.105902866578402e-05,-10.135228422629158,0.33841866584453617,2.1616474564052366,0.09051672879921772,3.6182622503014614,0.10569338595098139,3.7325181515149533,0.04629294590570089,10,5,True
0.02,kernel_smoothing,kernel|type=gaussian|M=64|ch=2,,,64,2.0,64.98412698412699,gaussian,,3.291112117296206,0.0014974003137039785,0.20497648575361618,1.4044430797143927e-05,-10.24580652540027,0.0933992131287435,2.229075582351214,0.0348303707384604,3.6909867861670684,0.12873506365704207,3.696758832240099,0.1360137804336999,10,5,True
0.02,kernel_smoothing,kernel|type=gaussian|M=64|ch=4,,,64,4.0,129.96825396825398,gaussian,,5.552744613923697,0.09025110584105925,0.34592795262268594,0.00045141206867424445,-17.984836071674728,1.760275745795422,3.527540483453584,0.03026273176332127,5.034203492685966,0.028830571818254595,7.384820079772579,0.4324091320458787,10,5,True
0.02,savitzky_golay,savgol|w=11|p=2,11,2,,,,,,0.1324840354863351,1.0907385695779838e-05,0.008250114583757403,2.985314244826516e-08,0.5474160987719409,0.00010381358796582183,0.058480326011264204,4.467416412987065e-06,0.06569119943354249,1.7964194119563983e-06,0.2119171609968878,3.343214468103754e-05,10,5,True
0.02,savitzky_golay,savgol|w=11|p=3,11,3,,,,,,0.13249960070353542,1.1090534560819889e-05,0.008250989886977018,2.865374924717466e-08,0.547375457262821,9.228410215711873e-05,0.05848255775650683,4.3638359504143234e-06,0.06525251532376286,2.5536463472022995e-06,0.21207894593077348,3.41070449404317e-05,10,5,True
0.02,savitzky_golay,savgol|w=11|p=5,11,5,,,,,,0.16875526186094209,1.0411401671896183e-05,0.010508613540238984,1.528331879293933e-08,0.42356050610677176,3.246166444248286e-05,0.07427598038352094,7.222789539686058e-06,0.07982657828425987,4.738191309134656e-06,0.27117443084075354,2.717865151465042e-05,10,5,True
0.02,savitzky_golay,savgol|w=21|p=2,21,2,,,,,,0.1748553722710766,0.00019092976864189268,0.010891258116783953,7.815729669956043e-07,0.40223290274542,0.0027730132086551717,0.07623015084143117,2.4552065647869846e-05,0.18106870335902786,0.0001884033156526519,0.230304044556505,0.00043064487697161,10,5,True
0.02,savitzky_golay,savgol|w=21|p=3,21,3,,,,,,0.16845208676805073,6.272066768605703e-05,0.010493321721194661,3.11127104437635e-07,0.42413593312868203,0.0012505344459095408,0.07407802002709325,7.002569723813628e-06,0.1725347481294084,5.806436483417082e-05,0.22320890962989104,0.00014692336916501163,10,5,True
0.02,savitzky_golay,savgol|w=21|p=5,21,5,,,,,,0.12001158795576003,7.735895592890321e-06,0.00747346482806815,2.065305312215246e-08,0.5900217804361947,6.824044705917387e-05,0.05287212767733762,3.6690982197354463e-06,0.05996579173067821,3.0587138792975615e-06,0.19183339966727359,2.3536119083616286e-05,10,5,True
0.02,savitzky_golay,savgol|w=41|p=2,41,2,,,,,,0.977887319751714,0.004385047786270733,0.060916635423253526,1.9376785628975194e-05,-2.3434841292009323,0.073038107759119,0.5143810832577576,0.001453260000813422,1.13642994000084,0.005720549246310599,1.1453291415656615,0.007160443437531523,10,5,True
0.02,savitzky_golay,savgol|w=41|p=3,41,3,,,,,,0.9492509700524903,0.0031220418949992504,0.059136223271025024,1.4928432926391937e-05,-2.2456029677209,0.05771468935918834,0.49127526716189945,0.000882170143124926,1.105984441305964,0.0040371673249188,1.1129343607880204,0.004504822819659793,10,5,True
